Statistical Areas Level 2 2021 code,Statistical Areas Level 2 2021 name,2020_Forecast,2021_Forecast,2022_Forecast,2023_Forecast
213021343,Altona North,58743.2015203328,59918.065550739455,61116.42686175425,62338.755398989335
213021344,Newport,72800.06644022594,74256.06776903046,75741.18912441107,77256.0129068993
213021345,Seabrook,59082.43638241249,60264.08511006074,61469.36681226196,62698.7541485072
213031347,Braybrook,49640.93342132856,50633.75208975514,51646.42713155024,52679.35567418125
213031348,Footscray,52240.85452964634,53285.67162023927,54351.38505264406,55438.41275369694
213031349,Maribyrnong,57782.943696568735,58938.60257050011,60117.37462191011,61319.72211434831
213031350,Seddon - Kingsville,70170.37637696686,71573.7839045062,73005.25958259632,74465.36477424824
213031351,West Footscray - Tottenham,58226.225856134835,59390.750373257535,60578.565380722684,61790.13668833714
213041353,Bacchus Marsh,58264.52191306367,59429.812351324945,60618.408598351445,61830.77677031847
213041358,Melton West,53151.68418473032,54214.71786842493,55299.01222579343,56404.9924703093
213041359,Rockbank - Mount Cottrell,54800.91945689809,55896.93784603605,57014.87660295678,58155.17413501591
213041360,Taylors Hill,58071.64865849137,59233.0816316612,60417.743264294426,61626.098129580314
213041461,Burnside,53802.366988208836,54878.41432797301,55975.98261453248,57095.502266823125
213041462,Burnside Heights,55751.11598772756,56866.138307482106,58003.46107363175,59163.530295104385
213041463,Caroline Springs,57521.12449623067,58671.54698615528,59844.97792587838,61041.87748439595
213051361,Hoppers Crossing - North,53204.315611735874,54268.401923970596,55353.76996245001,56460.84536169901
213051362,Hoppers Crossing - South,49679.41604894755,50673.0043699265,51686.46445732503,52720.19374647154
213051363,Laverton,52208.797321738304,53252.973268173075,54318.03273353654,55404.39338820727
213051368,Werribee - South,54669.27309946983,55762.658561459226,56877.91173268841,58015.46996734218
213051464,Point Cook - East,59466.475839271436,60655.805356056866,61868.921463178005,63106.299892441566
213051466,Point Cook - South,64110.98347751453,65393.20314706482,66701.06721000612,68035.08855420625
213051467,Werribee - East,50725.766465196604,51740.28179450054,52775.08743039055,53830.589178998365
213051468,Werribee - West,56509.880988163175,57640.078607926436,58792.88018008497,59968.73778368667
214011370,Carrum Downs,53558.19627782421,54629.3602033807,55721.94740744831,56836.38635559728
214011371,Frankston,51269.418669325096,52294.807042711596,53340.70318356583,54407.51724723714
214011372,Frankston North,49529.03407466119,50519.61475615441,51530.007051277506,52560.607192303054
214011373,Frankston South,58087.51143069831,59249.26165931227,60434.24689249852,61642.93183034849
214011374,Langwarrin,57419.45294255317,58567.842001404235,59739.19884143232,60933.98281826097
214011375,Seaford (Vic.),55432.26632719459,56540.91165373848,57671.72988681326,58825.164484549525
214011376,Skye - Sandhurst,58466.940824669575,59636.27964116297,60829.00523398623,62045.58533866596
214021377,Dromana,48713.3088560347,49687.57503315539,50681.3265338185,51694.953064494875
214021379,Hastings - Somers,51155.71004950416,52178.82425049425,53222.40073550413,54286.848750214216
214021382,Mount Martha,56391.330756626296,57519.157371758825,58669.540519194,59842.931329577885
214021383,Point Nepean,46319.268769154754,47245.65414453785,48190.56722742861,49154.378571977184
214021384,Rosebud - McCrae,46020.95539060125,46941.37449841328,47880.201988381545,48837.80602814918
214021385,Somerville,53734.52238867012,54809.21283644353,55905.397093172396,57023.50503503584
215011386,Ararat,47454.063387565235,48403.14465531654,49371.20754842287,50358.63169939133
215011387,Ararat Surrounds,45805.69511529138,46721.80901759721,47656.24519794915,48609.370101908135
215011388,Horsham,48415.96800073321,49384.287360747876,50371.97310796283,51379.41257012209
215011390,Nhill Region,43380.492777804495,44248.102633360584,45133.0646860278,46035.72597974836
215011391,St Arnaud,41730.38895823501,42564.99673739971,43416.296672147706,44284.62260559066
215011392,Stawell,46279.84072072608,47205.437535140605,48149.54628584342,49112.53721156029
215011394,Yarriambiack,44479.191897315555,45368.775735261865,46276.1512499671,47201.67427496644
215021395,Irymple,49117.283286702535,50099.628952436586,51101.62153148532,52123.65396211502
